service_id,date,exception_type
DEC25-D02CAR-1_Weekday-SANTHS1,20260323,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260323,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260323,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260323,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260323,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260324,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260324,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260324,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260324,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260324,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260325,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260325,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260325,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260325,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260325,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260326,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260326,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260326,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260326,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260326,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260327,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260327,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260327,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260327,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260327,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260327,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260330,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260330,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260330,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260330,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260330,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260330,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260331,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260331,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260331,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260331,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260331,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260331,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260401,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260401,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260401,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260401,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260401,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260401,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260402,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260402,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260402,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260402,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260402,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260402,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260403,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260403,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260403,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260403,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260403,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260403,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260406,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260406,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260406,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260406,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260406,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260407,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260407,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260407,2
